kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,998622,1679761,5735102,7293312,5283570,3057153,4564786,4274062,6421025,3363612,3958892,7100397,7100397,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,8,1124074,4897948,15972885,10402178,7940539,3958892,7100397,6421025,12902017,4274062,4897948,10821524,9318832,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,16,1143223,5389653,15972885,15972885,12902017,4274062,7940539,7100397,15972885,4897948,6421025,22737791,12902017,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,32,1183548,4897948,20962191,20962191,12902017,5283570,10821524,6421025,15972885,5283570,10821524,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,64,1183548,5860307,34389688,34389688,15972885,5389653,10402178,4988978,15972885,4897948,5735102,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,4,1085013,3867787,8414153,6406138,4934216,3053774,4934216,4557257,4934216,2511022,3657016,7582312,6406138,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,8,1185654,4759253,14200794,9287508,7476717,3759450,7582312,6114306,11720614,4104338,4759253,11720614,9129573,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,16,1231904,5325799,18012359,12842051,10567140,4407601,10779307,7582312,15881078,4934216,5603747,15881078,11720614,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,32,1254941,5847904,20804356,14200794,12842051,5325799,12542043,7917784,21643049,4717434,7082197,20804356,21643049,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,64,1319723,6114306,31945770,25804035,20804356,6114306,15881078,7476717,25804035,5847904,11720614,25804035,25804035,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,128,1306873,6406138,31945770,31945770,25804035,6406138,18637664,6406138,25804035,6406138,6406138,21643049,31945770,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,4,1117543,3326279,8024634,7735574,6073004,3326279,5687020,4652146,5938650,3654598,3605511,7314033,7518900,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,8,1267990,4907284,13625180,13625180,10245071,4572895,8815202,6249745,10245071,4734192,4054829,12090911,13625180,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,16,1325925,4054829,16072608,11091721,9518507,4332998,11207494,7735574,16072608,4496299,5455847,15835569,10148242,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,32,1262029,5810112,21134280,21558614,18259146,4572895,17096249,8534922,21134280,6249745,6398720,19591792,21558614,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,64,1354356,6073004,23441229,22940409,21134280,6107548,19591792,8534922,25684103,7314033,7518900,19591792,23441229,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,128,1369908,6249745,25084087,28401588,11695808,5810112,19591792,6073004,18259146,4477549,8534922,19591792,15164624,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,256,1334162,6398720,25684103,28401588,25684103,5428265,21134280,6398720,25684103,6398720,6398720,25684103,28401588,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,4,1143004,3849877,7620440,7647578,5870558,3081897,5214798,4375425,5886650,3580298,3580298,7410080,7540170,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,8,1273861,4447925,12499490,12499490,10235583,4411377,9468384,6395018,9638369,4447925,4571003,11877300,11877300,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,16,1320061,5278892,17069844,16417355,14240069,5177083,13522711,7758090,14240069,5227492,4610256,15583417,16543832,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,32,1350783,5822804,21303197,20490142,18385093,5566231,16543832,8394979,21303197,5227492,5822804,20490142,20490142,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,64,1361920,6018636,23139567,24457224,22414989,5331314,20490142,8844453,25624554,6491676,6319739,21303197,21303197,3.489,linux-AMD64,1024,32,17,iozone-001.out
