kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,1049372,2278628,6421025,7100397,4897948,3057153,4564786,4564786,6421025,3057153,3738358,6421025,6421025,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,8,1066042,4988978,12902017,10821524,7940539,3958892,6421025,6421025,5860307,4018152,4897948,10402178,10402178,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,16,1049372,5283570,15972885,15972885,10821524,4564786,9318832,5735102,15972885,4564786,6421025,15972885,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,32,1188789,5860307,30484297,20962191,15972885,4897948,9318832,5283570,15972885,5283570,10821524,15972885,20962191,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,64,1226821,6421025,34389688,34389688,15972885,5389653,9006179,4564786,22737791,4897948,5860307,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,4,1123617,3867787,8036304,6406138,5325799,2969325,4717434,4557257,4934216,2608629,3536566,7476717,6406138,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,8,1206978,4407601,14200794,9795896,8036304,3895854,7582312,6406138,10567140,4135958,4759253,11720614,9977956,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,16,1243315,5545860,18637664,12842051,10567140,4596273,10567140,7582312,15881078,4934216,5847904,15881078,11470204,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,32,1269781,5847904,25804035,18012359,12842051,4934216,11720614,7476717,20804356,4267461,6727225,20804356,14200794,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,64,1281909,6045455,20804356,20804356,14200794,5122535,12842051,6727225,21643049,5122535,9795896,24620673,16365173,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,128,1278855,6406138,20804356,20804356,14586625,5122535,14200794,5122535,18012359,5122535,6406138,24620673,16365173,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,4,1108314,3421677,7791708,6107548,4929815,3114048,5320671,4496299,5810112,3705040,3605511,7314033,7518900,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,8,1274008,4929815,12812277,12812277,10245071,4496299,8815202,6249745,10245071,4734192,4132864,12812277,12228612,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,16,1334162,5320671,17096249,17096249,14164395,5320671,12661199,7791708,16828306,5569035,5569035,17096249,17096249,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,32,1354356,5938650,21134280,21134280,18259146,4652146,17096249,8271916,21134280,6437081,6249745,21134280,21134280,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,64,1369908,6073004,23441229,25684103,21134280,6073004,18259146,8534922,25684103,7571923,6398720,19955913,25684103,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,128,1376935,6398720,25684103,25684103,23441229,6249745,19591792,7314033,22940409,5569035,11207494,23441229,25684103,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,256,1306564,5971678,28401588,25084087,25684103,5242734,21134280,6398720,22940409,6398720,6398720,25684103,25684103,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,4,1145443,3795443,7647578,7620440,5968453,3104171,5566231,4420457,5699180,3527371,3580298,7410080,7410080,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,8,1279935,4340054,12215097,12797441,9859630,4375425,9468384,6319739,10044089,4571003,4494470,11877300,12499490,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,16,1305615,5398323,17069844,16543832,13872122,5019764,13522711,7647578,13872122,5177083,4916336,16049269,17069844,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,32,1361920,5760329,20490142,21516644,18869737,5639315,17630404,8528336,19736867,5227492,5760329,20296484,21303197,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,64,1376763,5807059,23391616,24457224,21303197,5384786,19736867,8844453,25624554,6319739,6395018,21303197,23139567,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,128,1358474,6086873,25624554,25322398,23139567,6018636,20490142,8265729,25624554,7647578,7022379,24457224,24457224,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,256,1382969,6104175,25624554,24457224,23391616,6086873,22183443,7540170,25624554,5127637,10694336,23391616,25624554,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,512,1336492,5551840,25624554,25322398,25624554,5566231,23139567,6174377,25624554,6246213,6174377,22183443,25624554,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,4,1136593,3808251,7644933,7537599,5821271,3191372,5623115,4396951,5728107,3544270,3532609,7420395,7420395,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,8,1283303,4614246,12492426,12173747,9765601,4232305,9402175,6364746,10039528,4493556,4550690,11903823,12173747,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,16,1340582,5096034,16789959,16468073,13863422,4898425,13818817,7769397,14230902,5175871,5048117,16037624,16531459,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,32,1338494,5536137,20869039,20471166,18291580,5536137,17910197,8525047,18689559,5536137,5660167,20471166,20970936,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,64,1368780,6059442,23886714,23366889,21388672,5690162,20471166,9064828,24998980,6025439,6059442,23366889,23240448,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,128,1376236,6128613,24998980,25594883,18291580,5821271,22748081,9064828,27045423,6529233,6402699,23886714,24998980,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,256,1395010,5853003,24854315,24292018,23886714,6059442,23886714,8474583,25594883,7420395,7524394,23754601,25594883,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,512,1374474,6128613,25594883,25594883,25594883,6025439,24430194,7524394,23754601,4715569,9220512,25594883,24998980,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,1024,1338494,5983467,26219889,25594883,21713061,6050905,24998980,6128613,26219889,6244448,5813392,24998980,24998980,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,4,1138975,3743207,7609754,7183386,5868220,3297725,5659442,4385291,5800851,3525079,3548378,7336772,7368238,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,8,1274507,4751580,12398764,12050878,9752360,4319142,9621281,6340344,9400176,4490751,4490751,11564174,12033995,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,16,1327285,5293261,16653431,16653431,14132698,5059433,13639023,7789164,13726200,5032754,5044577,16122077,16244028,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,32,1351722,5689430,20658530,20079056,17940335,5549749,18284015,8722466,18804350,5362657,5461535,20268568,19710468,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,64,1376193,5785224,23228237,23291219,21593292,5816563,21325256,9268323,19893055,5769681,5785224,22736381,23291219,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,128,1365257,6037320,24984852,23546602,23546602,6003564,22796721,9268323,26284531,6007763,6041567,24074544,23291219,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,256,1367213,5986827,25278959,23807646,22979678,6041567,24074544,8830061,25278959,6243566,6479029,24697509,25278959,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,512,1386411,5904523,24912391,25353571,24984852,6114678,24416701,8357547,24984852,6420913,6479029,24912391,24416701,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,1024,1395193,6024617,25888448,24626703,25278959,5986827,24984852,7393606,25966707,4807425,7761014,25580074,24697509,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,2048,1322992,6092991,24984852,26284531,26284531,6041567,25278959,6171791,25580074,6092991,6171791,25278959,26204348,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4,1146027,3723578,7568872,7380284,5810280,3266255,5666546,4452120,5835938,3552638,3565171,7249484,7314299,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,8,1276477,4712228,12308209,11768599,9823772,4334185,9267351,6330545,9868918,4452120,4491697,12049235,11768599,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,16,1330761,5353976,16506317,16073893,13604523,5087609,13890515,7742845,13980948,5081590,5069594,16134276,15807673,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,32,1353618,5744227,20803766,19504720,18299707,5580043,18456987,8752710,18536646,5476867,5483860,20263922,19888580,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,64,1374960,5902100,23412013,22521946,21346604,5902100,21453230,9419791,21560926,5601877,5719367,22881911,22521946,3.489,linux-AMD64,1024,32,17,iozone-001.out
