kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,727850,1648808,4897948,5283570,4018152,1828508,3588436,2379626,5389653,2067979,2298136,6421025,4897948,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,8,913649,2892445,10821524,7940539,7100397,2772930,5735102,3738358,9318832,3057153,3406295,10402178,9006179,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,16,942521,4018152,15972885,12902017,9006179,3363612,7940539,4564786,15972885,3791156,4643754,16983463,12902017,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,32,1119387,3791156,20962191,15972885,12902017,4018152,10821524,4643754,15972885,4274062,7100397,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,64,1163036,5283570,30484297,30484297,20962191,5389653,12902017,5283570,20962191,4897948,4897948,20962191,30484297,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,4,711270,2286447,6114306,5784891,4934216,2098744,4407601,2511022,4934216,1939522,2286447,5784891,5784891,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,8,992724,3277486,10779307,10779307,8548124,3124872,7476717,3867787,9129573,3359523,3468030,9977956,10779307,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,16,1133103,4267461,15881078,15881078,12842051,4135958,11470204,5603747,14200794,4596273,4557257,14200794,14200794,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,32,1231904,4889281,21643049,21643049,18012359,4934216,14200794,6406138,18012359,4407601,6045455,18637664,21643049,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,64,1281909,5379161,24620673,24620673,21643049,5545860,16365173,6406138,21643049,5325799,9795896,20804356,24620673,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,128,1294270,5847904,25804035,31945770,25804035,5847904,18637664,5784891,21643049,5847904,5545860,21643049,25804035,3.489,linux-AMD64,1024,32,17,iozone-001.out
