kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,603489,1279447,4564786,3791156,4018152,1526887,3363612,1105556,2561267,969761,2006158,5735102,4897948,3.489,linux-AMD64,1024,32,17,iozone-100.out
64,8,799377,2561267,4897948,3203069,4018152,1310683,4564786,2772930,9318832,2467108,1484662,4897948,4564786,3.489,linux-AMD64,1024,32,17,iozone-100.out
64,16,929467,1879725,6421025,4274062,5860307,1562436,7100397,3791156,12310336,2923952,3203069,9006179,10402178,3.489,linux-AMD64,1024,32,17,iozone-100.out
64,32,955947,3791156,15972885,5283570,7100397,1828508,4897948,3958892,15972885,3588436,5283570,12902017,12902017,3.489,linux-AMD64,1024,32,17,iozone-100.out
64,64,1066042,4564786,4897948,12902017,12902017,3363612,10402178,3738358,16983463,3791156,4274062,22737791,12310336,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,4,376274,1059322,6406138,3759450,3867787,1778862,4012317,2211113,2248149,800337,1997245,4759253,3380677,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,8,864797,2843510,9977956,5122535,6045455,2409592,6114306,3380677,8036304,2464907,2843510,9795896,7176872,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,16,535368,3536566,12842051,3657016,5122535,1684006,8036304,4444086,11720614,3106789,2066432,14200794,9129573,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,32,576161,4104338,18012359,4717434,6727225,1967960,9795896,5122535,12842051,3199360,4889281,18637664,18012359,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,64,1142750,4596273,12842051,14200794,18012359,4717434,14200794,5325799,18012359,4596273,7082197,16365173,21643049,3.489,linux-AMD64,1024,32,17,iozone-100.out
128,128,1111981,4557257,10567140,12842051,11720614,2727923,16365173,5122535,21643049,5074121,5122535,16365173,20804356,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,4,721210,1911233,6107548,4553502,2557711,1044693,4496299,2371308,4572895,2030503,1117543,5810112,5810112,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,8,931416,3043436,9868433,6761355,7965107,2872459,5810112,3557725,7518900,2726577,2747508,9434868,9868433,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,16,1070737,3823789,13625180,8024634,11569783,3810220,10245071,4840911,7314033,2097948,3935921,13454450,13454450,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,32,632056,2435861,17096249,9518507,15164624,3756894,13454450,6107548,18259146,4819184,4929815,15164624,18259146,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,64,1213534,4907284,16072608,11695808,13454450,4755158,16072608,6554972,21558614,5938650,5971678,17096249,19591792,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,128,1185399,4840911,14353744,14164395,19591792,3078337,9192546,6107548,23441229,4054829,9114515,18259146,23441229,3.489,linux-AMD64,1024,32,17,iozone-100.out
256,256,1219045,5428265,10758322,25684103,21558614,4404088,9518507,5117791,21558614,5320671,2911402,13625180,21134280,3.489,linux-AMD64,1024,32,17,iozone-100.out
512,4,682649,909255,3177664,2625909,3849877,1695195,2169601,2381315,4375425,1924603,1766304,2958758,3122224,3.489,linux-AMD64,1024,32,17,iozone-100.out
512,8,942786,1467055,5331314,3140488,4375425,1509330,3736016,3182373,7540170,3029721,1662389,4973263,9681823,3.489,linux-AMD64,1024,32,17,iozone-100.out
512,16,856319,2150051,7211022,4375425,5886650,1992458,5744919,2845081,11374040,4000485,1835760,6821616,7115451,3.489,linux-AMD64,1024,32,17,iozone-100.out
512,32,958781,2521095,8955098,4784885,11138071,4610256,7758090,3481620,18869737,4271001,2548017,8528336,8528336,3.489,linux-AMD64,1024,32,17,iozone-100.out
