kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,516414,821391,4988978,3958892,3738358,1452528,3541098,1828508,5283570,1599680,1780008,5735102,4897948,3.489,linux-AMD64,1024,32,17,iozone.out
64,8,809014,2467108,4897948,3203069,3791156,1232453,4897948,2467108,7100397,2358717,1452528,4897948,4564786,3.489,linux-AMD64,1024,32,17,iozone.out
64,16,852702,3057153,12902017,4018152,5283570,1638743,4274062,2067979,7100397,3057153,3541098,10821524,10821524,3.489,linux-AMD64,1024,32,17,iozone.out
64,32,983980,3738358,15972885,7940539,10821524,3057153,9318832,4274062,15972885,3541098,6271021,15972885,10821524,3.489,linux-AMD64,1024,32,17,iozone.out
64,64,939223,3203069,7100397,22737791,12902017,2923952,9318832,2892445,15972885,3738358,3738358,15972885,15972885,3.489,linux-AMD64,1024,32,17,iozone.out
128,4,640042,1319723,5847904,3759450,2326073,841746,1684006,1878447,3867787,1114289,1543594,5603747,4934216,3.489,linux-AMD64,1024,32,17,iozone.out
128,8,859260,2608629,10567140,5122535,6045455,2166499,6406138,3053774,8548124,2367096,2673584,9795896,6045455,3.489,linux-AMD64,1024,32,17,iozone.out
128,16,1000121,3560017,14200794,6727225,7917784,2905056,8036304,4012317,11470204,3124872,1939522,6727225,5847904,3.489,linux-AMD64,1024,32,17,iozone.out
128,32,1065630,4267461,14200794,7476717,9977956,3468030,10779307,5122535,18637664,2843510,4717434,14200794,11470204,3.489,linux-AMD64,1024,32,17,iozone.out
128,64,600657,4135958,11720614,11720614,11470204,3895854,11720614,4759253,18012359,4104338,7476717,15881078,12842051,3.489,linux-AMD64,1024,32,17,iozone.out
128,128,659704,5122535,8036304,15881078,11470204,3867787,14200794,4012317,21643049,4012317,4934216,20804356,12842051,3.489,linux-AMD64,1024,32,17,iozone.out
256,4,651223,1629830,6073004,3705040,3879045,1437779,4264168,1044693,2247235,1334162,1696795,4652146,4332998,3.489,linux-AMD64,1024,32,17,iozone.out
256,8,870974,2672291,9868433,4840911,5810112,2228578,6761355,3207059,3557725,1405778,2242541,9114515,9868433,3.489,linux-AMD64,1024,32,17,iozone.out
256,16,1062263,3454704,13454450,8208677,11695808,3511189,10651598,4652146,14164395,3705040,3557725,12090911,14164395,3.489,linux-AMD64,1024,32,17,iozone.out
256,32,1079348,3326279,14353744,6761355,9868433,2509882,12812277,5687020,17096249,3009318,4572895,15164624,9114515,3.489,linux-AMD64,1024,32,17,iozone.out
256,64,1112909,4264168,14164395,8271916,10758322,3197509,11695808,5938650,16072608,4404088,5455847,18259146,9868433,3.489,linux-AMD64,1024,32,17,iozone.out
256,128,1084800,4929815,11695808,9868433,10651598,4070199,17096249,5142301,14353744,3823789,8024634,19591792,11091721,3.489,linux-AMD64,1024,32,17,iozone.out
256,256,1164824,5320671,6761355,12812277,11207494,3245838,17096249,4070199,18259146,3994490,5320671,21558614,11695808,3.489,linux-AMD64,1024,32,17,iozone.out
512,4,661618,1753325,6018636,3610395,3822466,1463057,4532414,1940253,3795443,1501940,1695195,5624545,4411377,3.489,linux-AMD64,1024,32,17,iozone.out
512,8,869143,2509312,9814569,4784885,5744919,2141475,7647578,3244885,7435738,2613128,2651850,9468384,8265729,3.489,linux-AMD64,1024,32,17,iozone.out
512,16,1040545,3604335,13438092,7871843,11374040,3459188,11138071,4457157,11138071,3604335,3409755,13109944,13109944,3.489,linux-AMD64,1024,32,17,iozone.out
512,32,1176828,4532414,17069844,8844453,15037801,4131319,14240069,3346002,10044089,3351224,4571003,15930214,16049269,3.489,linux-AMD64,1024,32,17,iozone.out
512,64,1227971,4927617,17630404,10434519,18385093,4447925,17630404,7091952,22183443,5227492,5453155,18385093,18229030,3.489,linux-AMD64,1024,32,17,iozone.out
512,128,1230786,5384786,17630404,11877300,19736867,5278892,17630404,6909408,23391616,6319739,5684095,19557124,19736867,3.489,linux-AMD64,1024,32,17,iozone.out
512,256,1276891,5164632,14628067,7758090,11374040,2942541,20490142,5886650,19736867,3710197,9468384,22183443,21516644,3.489,linux-AMD64,1024,32,17,iozone.out
512,512,1053821,5566231,10485468,20490142,22183443,4447925,21303197,3029721,20296484,5019764,4650188,21303197,21303197,3.489,linux-AMD64,1024,32,17,iozone.out
1024,4,668914,1715375,5983467,4526709,4783849,1537317,4589593,1871603,4195100,1727102,1030263,5720477,5652717,3.489,linux-AMD64,1024,32,17,iozone.out
1024,8,885048,2638501,8061038,6317933,7986094,2553783,7883484,3271594,7883484,2572135,2666347,9464330,9402175,3.489,linux-AMD64,1024,32,17,iozone.out
1024,16,1018777,3696803,13643232,6609617,11773301,3425544,11520658,2619192,11489839,3591693,3472628,13142265,13264026,3.489,linux-AMD64,1024,32,17,iozone.out
1024,32,1172909,4146499,17616353,9142007,16037624,2321847,15027577,3281592,7811791,4178773,4433259,16789959,16789959,3.489,linux-AMD64,1024,32,17,iozone.out
1024,64,1206178,5071963,18936769,5120336,10134284,2688041,14618393,4044965,22748081,4694950,5226256,19629138,11018226,3.489,linux-AMD64,1024,32,17,iozone.out
1024,128,1238168,3955557,19629138,7008693,21388672,4966395,19719260,4178773,23886714,5444898,5018624,20471166,20970936,3.489,linux-AMD64,1024,32,17,iozone.out
1024,256,1261072,5120336,17331995,11368190,20869039,5390231,20471166,5983467,22276143,6102490,6819511,21388672,16789959,3.489,linux-AMD64,1024,32,17,iozone.out
1024,512,1074331,3249318,14618393,14230902,21823389,5096034,22276143,3668386,21282686,4470172,8822754,22748081,22748081,3.489,linux-AMD64,1024,32,17,iozone.out
1024,1024,1214706,5144870,10662628,24998980,24430194,5690162,10134284,2723840,23886714,3066069,5096034,12456195,12983353,3.489,linux-AMD64,1024,32,17,iozone.out
2048,4,663222,1745990,3256469,4405533,4601407,1635926,4572018,1955900,4674016,1683044,1711208,3630870,3991965,3.489,linux-AMD64,1024,32,17,iozone.out
2048,8,862373,2666186,9990553,6382745,8029434,2531062,7940367,3240499,6563185,2550602,2629459,9525260,9400176,3.489,linux-AMD64,1024,32,17,iozone.out
2048,16,1045410,3650932,13639023,7933034,11966935,3536690,11440955,4796687,11835033,3341339,3548378,11015480,12959958,3.489,linux-AMD64,1024,32,17,iozone.out
2048,32,1155834,4481379,17791701,8949659,15510737,4385291,13301113,5868220,15399510,4358590,4356379,17221003,17645509,3.489,linux-AMD64,1024,32,17,iozone.out
2048,64,1225591,5044577,19893055,10037248,19665344,4741090,18641120,7636816,18441025,4709895,4968710,19893055,19311656,3.489,linux-AMD64,1024,32,17,iozone.out
2048,128,1232980,5332694,20708333,10289741,20859193,5336007,20859193,7112016,24074544,5336007,5376082,21539147,20079056,3.489,linux-AMD64,1024,32,17,iozone.out
2048,256,1254223,5430461,19893055,10726615,21115571,5362657,21325256,7846081,22979678,5655716,5820505,19139540,21980064,3.489,linux-AMD64,1024,32,17,iozone.out
2048,512,1271301,3637020,11001372,5251194,14738933,4162181,19710468,7368238,23291219,5868220,5430461,12959958,12118884,3.489,linux-AMD64,1024,32,17,iozone.out
2048,1024,1121576,2680329,12561952,13574363,22796721,5212953,22498183,6738230,23807646,4562305,9228493,23546602,23291219,3.489,linux-AMD64,1024,32,17,iozone.out
2048,2048,1200414,5345969,10240672,23041317,24347494,5611381,23546602,5430461,24347494,5611381,5626082,23546602,22264924,3.489,linux-AMD64,1024,32,17,iozone.out
4096,4,662042,1732748,5891980,4417775,4628439,1666362,4592558,1951413,4729091,1726133,1627990,3980686,5258919,3.489,linux-AMD64,1024,32,17,iozone.out
4096,8,879899,1934712,7542289,4723889,5589120,2210537,4977067,3240380,7954358,2553562,2561939,8883968,9227530,3.489,linux-AMD64,1024,32,17,iozone.out
4096,16,1042543,2776856,13518879,7784948,11222762,3530734,11470025,4707064,11736440,3506950,3513405,13086376,13217259,3.489,linux-AMD64,1024,32,17,iozone.out
4096,32,1167284,4262142,16318176,8870207,15508016,4366128,15522028,6420447,12560167,4162994,4252647,16862753,17217649,3.489,linux-AMD64,1024,32,17,iozone.out
4096,64,1216549,4882301,19221033,9307517,18456987,4977067,18698043,7711565,18862276,4887857,4869845,19683498,20168765,3.489,linux-AMD64,1024,32,17,iozone.out
4096,128,1247195,5211065,20905025,10089154,20481345,5069594,20879618,8127459,21110529,5164073,3419011,21669709,20981619,3.489,linux-AMD64,1024,32,17,iozone.out
4096,256,1266503,5159420,20481345,10294709,22030961,5382492,21346604,7906767,22116044,3054304,5382492,21346604,22144551,3.489,linux-AMD64,1024,32,17,iozone.out
4096,512,1199392,3059199,12919082,9995236,21110529,5418140,17880690,4240052,10867793,3454069,4819300,16996213,6758923,3.489,linux-AMD64,1024,32,17,iozone.out
4096,1024,1262222,5334028,17200411,11809047,22760651,5504946,22760651,7261741,21807241,4267436,6160296,21890602,22375282,3.489,linux-AMD64,1024,32,17,iozone.out
4096,2048,1268092,5292944,13735042,14026607,22492460,5512011,22259318,6339889,12880338,4507015,8770583,14941541,18945480,3.489,linux-AMD64,1024,32,17,iozone.out
4096,4096,1113637,4227532,6149271,15635038,17356809,4880914,17217649,5362331,18280235,5125556,5257310,15866068,19050521,3.489,linux-AMD64,1024,32,17,iozone.out
8192,4,650520,1634169,5393311,3529213,3795898,1529559,3624519,1954278,3988451,1562459,1617704,4943274,5035275,3.489,linux-AMD64,1024,32,17,iozone.out
8192,8,826058,2341250,5573531,5501249,7105276,2391772,6558696,3244298,6866721,2406682,2453600,7839667,8007759,3.489,linux-AMD64,1024,32,17,iozone.out
8192,16,933236,2446089,8334066,5583494,7407022,2804463,7978009,4835445,9682056,3156959,3289963,10088578,10738070,3.489,linux-AMD64,1024,32,17,iozone.out
8192,32,1123755,3422010,9823226,7367317,12759828,3961322,7714691,6475875,6450345,3024942,3494753,10598950,12527222,3.489,linux-AMD64,1024,32,17,iozone.out
8192,64,1175503,4045746,13934487,8265899,14002632,4466476,13906289,7676771,14578944,4253598,4420506,14474536,14972831,3.489,linux-AMD64,1024,32,17,iozone.out
8192,128,1205274,3794641,13386185,7721626,15967862,4836126,15938235,8358395,16584440,4810398,4787608,17172951,17925519,3.489,linux-AMD64,1024,32,17,iozone.out
8192,256,1224125,4599816,12356037,9383277,19692587,4926264,11703682,8117485,16316670,4745947,5003744,17250547,18288074,3.489,linux-AMD64,1024,32,17,iozone.out
8192,512,1233574,2783561,9871202,6872214,10585888,4124914,12241580,8144423,23266255,4309616,4620228,8828739,13145483,3.489,linux-AMD64,1024,32,17,iozone.out
8192,1024,1170617,3541946,10343693,7249187,13789092,4776959,15367944,8024590,16919264,4306915,4778952,7223279,10012145,3.489,linux-AMD64,1024,32,17,iozone.out
8192,2048,1091831,3636025,10124250,9172856,15005525,4481623,13539152,7321790,23140898,5428245,4108146,12396156,14498968,3.489,linux-AMD64,1024,32,17,iozone.out
8192,4096,1173616,3862030,9131414,10819219,14862727,4471708,12879400,6122759,11620560,3555507,6989645,10088578,14002632,3.489,linux-AMD64,1024,32,17,iozone.out
8192,8192,1140314,3886054,6788039,11473111,11269901,3974610,9682056,4077917,9991764,4033398,4192356,9427042,6425016,3.489,linux-AMD64,1024,32,17,iozone.out
16384,4,618449,1454294,4043319,3664490,4014502,1396742,3663708,1905972,3667619,1404880,1429903,4694656,4319315,3.489,linux-AMD64,1024,32,17,iozone.out
16384,8,825025,1962863,6789921,4716244,5593404,2093267,5832677,3284115,5503367,2136679,2126958,5753084,5647647,3.489,linux-AMD64,1024,32,17,iozone.out
16384,16,920188,2644704,8790123,5612591,7383787,2731102,7529411,4827566,7436524,2608959,2586666,6665448,9001994,3.489,linux-AMD64,1024,32,17,iozone.out
